name,ip_address
Time Server,172.28.162.126
IDC,172.28.162.42
VOIP Phone 1,172.28.162.100
VOIP phone 2,172.28.162.101
VOIP phone 3,172.28.162.102
TEMS CLIENT_A,172.28.162.30
TEMS CLIENT_B,172.28.162.31
PFE,172.28.162.70
