name,ip_address
SSU 2000,172.28.158.49
pin,172.28.158.126
RAU,172.28.158.111
DCD,172.28.158.81
OSP Main,172.28.158.1
DCN SWITCH,172.28.158.115
VLAN SWITCH,172.28.158.116
VOIP Phone 1,172.28.158.100
VOIP phone 2,172.28.158.101
TEMS CLIENT_A,172.28.158.30
TEMS CLIENT_B,172.28.158.31
PFE - CMP1,172.28.158.64
PFE - CMP2,172.28.158.65
VPN BOX,172.28.158.74
AIS UNIT,41.75.81.22
U2000 - SERVER,172.28.158.126
Tyco Lagos OOB,197.156.251.75
