name,ip_address
SSU 2000,172.28.156.49
CISCO Router,172.28.156.126
RAU,172.28.156.111
DCD,172.28.156.81
PFE - CMP1,172.28.156.1
DCN SWITCH,172.28.156.115
VLAN SWITCH,172.28.156.116
VOIP Phone 1,172.28.156.100
VOIP phone 2,172.28.156.101
VOIP phone 3,172.28.156.102
TEMS CLIENT_A,172.28.156.30
TEMS CLIENT_B,172.28.156.31
PFE - CMP1,172.28.156.64
VPN BOX,172.28.156.74
Tyco Seixal OOB,62.28.71.6
